,Unnamed: 0,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
10771,10771,F40187,7050.0,E,2.0,2023-02-20 15:26:13.083,2023-02-20,2023-02-28 00:00:00,2023-02-28,,1170.0,0.0,0.0
10772,10772,F40188,3878.0,E,6.0,2023-02-20 17:45:17.880,2023-02-20,2023-02-28 00:00:00,2023-02-28,,8628.0,0.0,0.0
10837,10837,F40253,6401.0,E,1.0,2023-02-27 16:53:08.647,2023-02-27,2023-02-28 00:00:00,2023-03-29,,8100.000000000001,0.0,0.0
10839,10839,F40255,1583.0,E,2.0,2023-02-28 09:15:45.753,2023-02-28,2023-02-28 00:00:00,2023-03-30,,3467.35,0.0,0.0
10840,10840,F40256,8242.0,E,2.0,2023-02-28 10:12:54.900,2023-02-28,2023-02-28 00:00:00,2023-02-28,,530.15,0.0,0.0
10841,10841,F40257,8242.0,E,2.0,2023-02-28 10:25:09.680,2023-02-28,2023-02-28 00:00:00,2023-02-28,,198.53,0.0,0.0
10843,10843,F40259,8347.0,E,2.0,2023-02-28 11:01:06.950,2023-02-28,2023-02-28 00:00:00,2023-02-28,,2842.5,0.0,0.0
10846,10846,F40262,5926.0,E,2.0,2023-02-28 11:19:40.553,2023-02-28,2023-02-28 00:00:00,2023-02-28,,530.1500000000001,0.0,0.0
10848,10848,F40264,8143.0,E,2.0,2023-02-28 12:01:00.103,2023-02-28,2023-02-28 00:00:00,2023-02-28,,1216.0,0.0,0.0
10856,10856,F40272,8860.0,E,2.0,2023-02-28 16:56:57.870,2023-02-28,2023-02-28 00:00:00,2023-02-28,,1359.43,0.0,0.0
10858,10858,F40274,2704.0,E,2.0,2023-02-28 17:29:07.150,2023-02-28,2023-02-28 00:00:00,2023-02-28,,2237.5,111.88,0.0
10859,10859,F40275,8836.0,E,2.0,2023-02-28 17:45:10.583,2023-02-28,2023-02-28 00:00:00,2023-02-28,,15909.0,0.0,0.0
10863,10863,F40279,908.0,E,2.0,2023-02-28 17:58:45.607,2023-02-28,2023-02-28 00:00:00,2023-03-15,,2571.5811000000003,0.0,0.0
10868,10868,F40284,6588.0,E,2.0,2023-02-28 18:34:09.193,2023-02-28,2023-02-28 00:00:00,2023-02-28,,645.681,0.0,0.0
10870,10870,F40286,8842.0,E,2.0,2023-02-28 18:53:16.560,2023-02-28,2023-02-28 00:00:00,2023-02-28,,3272.0000000000005,0.0,0.0
