,host_name,host_since,neighbourhood,property_type,room_type,price
0,Janos,2008-09-09,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$27,895.00"
1,Janos,2008-09-09,"Budapest, Hungary",Entire condo,Entire home/apt,"$27,801.00"
2,Zsuzsanna,2009-12-04,"Budapest, Hungary",Private room in rental unit,Private room,"$22,016.00"
3,Zsuzsanna,2009-12-04,"Budapest, Hungary",Private room in rental unit,Private room,"$22,581.00"
4,Zsuzsanna,2009-12-04,"Budapest, Hungary",Private room in rental unit,Private room,"$23,147.00"
5,Zsuzsanna,2009-12-04,"Budapest, Hungary",Private room in rental unit,Private room,"$27,994.00"
6,Zsuzsanna,2009-12-04,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$67,054.00"
7,Zsuzsanna,2009-12-04,"Budapest, Hungary",Private room in rental unit,Private room,"$18,017.00"
8,Zsuzsanna,2009-12-04,"Budapest, Hungary",Private room in rental unit,Private room,"$19,188.00"
9,Zsuzsanna,2009-12-04,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$67,495.00"
10,Zsuzsanna,2009-12-04,"Budapest, Hungary",Private room in rental unit,Private room,"$27,550.00"
11,Zsuzsanna,2009-12-04,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$24,375.00"
12,Akos,2010-05-06,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$153,503.00"
13,Julie,2010-06-14,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$30,902.00"
14,Andras,2010-06-15,"Budapest, Hungary",Entire condo,Entire home/apt,"$17,024.00"
15,Andras,2010-06-15,"Budapest, Hungary",Entire condo,Entire home/apt,"$14,427.00"
16,Andras,2010-06-15,"Budapest, Hungary",Entire condo,Entire home/apt,"$14,946.00"
17,Georgie,2010-07-13,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$60,593.00"
18,Andras,2010-06-15,"Budapest, Hungary",Entire condo,Entire home/apt,"$9,522.00"
19,Andras,2010-06-15,"Budapest, Hungary",Entire condo,Entire home/apt,"$12,696.00"
20,Flora,2010-06-30,,Entire condo,Entire home/apt,"$24,468.00"
21,Orsolya,2011-01-10,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$24,673.00"
22,Judit,2011-01-28,"Budapest, Hungary",Entire condo,Entire home/apt,"$83,117.00"
23,Katalin,2011-02-19,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$53,218.00"
